video_url,caption,scheduled_time
https://example.com/reel1.mp4,Morning motivation ☀️💪 #fitness #goals,2025-08-18 10:00
https://example.com/reel2.mp4,Latest tech tips 📱⚡ #gadgets #smartphone,2025-08-18 14:30
https://example.com/reel3.mp4,Travel vibes 🌍✈️ #wanderlust #explore,2025-08-18 19:00
https://example.com/reel4.mp4,Gym workout inspo 🔥🏋️ #fitlife #gym,2025-08-19 09:00
https://example.com/reel5.mp4,Weekend vibes 🎉 #party #friends,2025-08-19 18:00
https://example.com/reel6.mp4,Office hacks 🖥️✨ #productivity #work,2025-08-20 12:30
https://example.com/reel7.mp4,Style & fashion 💃👗 #ootd #trending,2025-08-20 19:30
https://example.com/reel8.mp4,Daily dose of humor 😂🤣 #funny #lol,2025-08-21 11:00
https://example.com/reel9.mp4,Foodie love 🍕🍔 #foodie #yummy,2025-08-21 20:00
https://example.com/reel10.mp4,Self-care & wellness 🧘‍♀️💖 #wellness #selflove,2025-08-22 17:00
